State,SO2 - 2011,NO2 - 2011,PM - 2011,SO2 - 2012,NO2 - 2012,PM - 2012,SO2 - 2013,NO2 - 2013,PM - 2013,SO2 - 2014,NO2 - 2014,PM - 2014,VR_2011,VR_2012,VR_2013,VR_2014
Andhra Pradesh,7,20,86,5,17,73,7,19,77,7,18,72,8058948,8923139,10189347,12424328
Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,72,1234751,1383721,1582128,1807120
Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,36,166,1959553,2356986,2673209,3112880
Chandigarh,2,15,81,2,16,92,2,16,102,2,19,110,511568,686316,711007,737263
Chhattisgarh,16,31,164,11,22,107,12,27,173,11,26,151,2114589,2435773,2766037,3104038
Dadra & Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,NA,35059,38635,43010,48550
Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,NA,42861,43991,47247,52339
Delhi,6,50,252,5,55,261,5,57,222,5,59,237,3846721,4107912,4395086,4661714
Goa,3,14,74,14,18,68,10,18,100,11,17,96,673909,727042,790075,865609
Gujarat,16,24,92,15,23,89,15,25,88,15,26,94,10998651,11872573,12993135,14413717
Haryana,13,20,168,14,23,171,13,25,146,9,23,147,4425221,4791825,5377003,5978110
Himachal Pradesh,3,13,89,3,15,88,3,12,88,2,15,99,494398,538341,621714,736604
Jharkhand,23,42,186,23,39,193,23,39,197,23,41,173,2038020,2767408,3113182,3157986
Karnataka,10,27,85,10,22,70,11,21,71,9,20,83,6952551,9043976,9930483,10909601
Kerala,5,15,46,4,13,42,4,14,42,4,13,55,4859918,5397652,6072019,6893314
Maharashtra,15,31,100,17,31,101,18,33,111,17,33,105,144590908,15768421,17434099,19432361
Madhya Pradesh,10,17,129,11,17,137,12,18,135,14,22,128,6010691,6590576,7355702,8144159
Meghalaya,6,9,88,2,10,101,17,10,89,9,11,73,141877,158113,175737,197838
Mizoram,2,6,40,2,6,42,2,5,57,2,7,54,69882,80456,92648,101830
Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147394,194452,206502,214523
Nagaland,2,16,80,2,6,68,2,6,82,2,6,86,239873,254483,272653,291438
Orissa,5,18,88,5,18,86,4,19,96,4,17,82,2607361,2931832,3338038,3758530
Punjab,10,30,199,11,27,187,10,25,147,10,27,162,4831531,5274254,5274254,6262939
Puduchery,3,11,42,6,13,38,7,16,42,8,14,42,538248,599129,672803,755276
Rajasthan,6,27,129,7,29,168,7,31,165,8,34,173,4715835,5230454,5859719,6629743
Tamil Nadu,11,20,72,9,20,70,10,22,77,11,21,73,10223233,11156048,12393788,13846378
Uttar Pradesh,14,31,174,12,30,181,13,30,163,12,29,184,8521198,9493677,10563850,12410064
Uttarakhand,28,30,130,NA,NA,169,21,24,158,26,28,162,570359,583927,708595,897651
West Bengal,13,65,NA,10,65,NA,17,57,NA,41,55,NA,3043619,2747138,3260624,3860741
Jammu & Kashmir,8,12,NA,6,14,NA,5,12,NA,6,12,NA,668445,738905,926961,916898
 Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7235,7855,8753,9897
Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143823,160119,187673,204218
Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59729,61774,69100,77063
