State,SO2,NO2,PM,VR,Year
Andhra Pradesh,7,20,86,8058948,2011
Assam,9,24,113,1234751,2011
Bihar,9,24,113,1959553,2011
Chandigarh,2,15,81,511568,2011
Chhattisgarh,16,31,164,2114589,2011
Dadra & Nagar Haveli,9,24,113,35059,2011
Daman & Diu,9,24,113,42861,2011
Delhi,6,50,252,3846721,2011
Goa,3,14,74,673909,2011
Gujarat,16,24,92,10998651,2011
Haryana,13,20,168,4425221,2011
Himachal Pradesh,3,13,89,494398,2011
Jharkhand,23,42,186,2038020,2011
Karnataka,10,27,85,6952551,2011
Kerala,5,15,46,4859918,2011
Maharashtra,15,31,100,144590908,2011
Madhya Pradesh,10,17,129,6010691,2011
Meghalaya,6,9,88,141877,2011
Mizoram,2,6,40,69882,2011
Manipur,9,24,113,147394,2011
Nagaland,2,16,80,239873,2011
Orissa,5,18,88,2607361,2011
Punjab,10,30,199,4831531,2011
Puduchery,3,11,42,538248,2011
Rajasthan,6,27,129,4715835,2011
Tamil Nadu,11,20,72,10223233,2011
Uttar Pradesh,14,31,174,8521198,2011
Uttarakhand,28,30,130,570359,2011
West Bengal,13,65,113,3043619,2011
Jammu & Kashmir,8,12,113,668445,2011
 Lakshadweep,2,6,113,7235,2011
Tripura,2,6,113,143823,2011
Andaman and Nicobar Islands,2,6,113,59729,2011
Andhra Pradesh,5,17,73,8923139,2012
Assam,9,23,113,1383721,2012
Bihar,9,23,113,2356986,2012
Chandigarh,2,16,92,686316,2012
Chhattisgarh,11,22,107,2435773,2012
Dadra & Nagar Haveli,9,23,113,38635,2012
Daman & Diu,9,23,113,43991,2012
Delhi,5,55,261,4107912,2012
Goa,14,18,68,727042,2012
Gujarat,15,23,89,11872573,2012
Haryana,14,23,171,4791825,2012
Himachal Pradesh,3,15,88,538341,2012
Jharkhand,23,39,193,2767408,2012
Karnataka,10,22,70,9043976,2012
Kerala,4,13,42,5397652,2012
Maharashtra,17,31,101,15768421,2012
Madhya Pradesh,11,17,137,6590576,2012
Meghalaya,2,10,101,158113,2012
Mizoram,2,6,42,80456,2012
Manipur,9,23,113,194452,2012
Nagaland,2,6,68,254483,2012
Orissa,5,18,86,2931832,2012
Punjab,11,27,187,5274254,2012
Puduchery,6,13,38,599129,2012
Rajasthan,7,29,168,5230454,2012
Tamil Nadu,9,20,70,11156048,2012
Uttar Pradesh,12,30,181,9493677,2012
Uttarakhand,9,23,169,583927,2012
West Bengal,10,65,113,2747138,2012
Jammu & Kashmir,6,14,113,738905,2012
 Lakshadweep,2,6,113,7855,2012
Tripura,2,6,113,160119,2012
Andaman and Nicobar Islands,2,6,113,61774,2012
Andhra Pradesh,7,19,77,10189347,2013
Assam,10,23,114,1582128,2013
Bihar,10,23,114,2673209,2013
Chandigarh,2,16,102,711007,2013
Chhattisgarh,12,27,173,2766037,2013
Dadra & Nagar Haveli,10,23,114,43010,2013
Daman & Diu,10,23,114,47247,2013
Delhi,5,57,222,4395086,2013
Goa,10,18,100,790075,2013
Gujarat,15,25,88,12993135,2013
Haryana,13,25,146,5377003,2013
Himachal Pradesh,3,12,88,621714,2013
Jharkhand,23,39,197,3113182,2013
Karnataka,11,21,71,9930483,2013
Kerala,4,14,42,6072019,2013
Maharashtra,18,33,111,17434099,2013
Madhya Pradesh,12,18,135,7355702,2013
Meghalaya,17,10,89,175737,2013
Mizoram,2,5,57,92648,2013
Manipur,10,23,114,206502,2013
Nagaland,2,6,82,272653,2013
Orissa,4,19,96,3338038,2013
Punjab,10,25,147,5274254,2013
Puduchery,7,16,42,672803,2013
Rajasthan,7,31,165,5859719,2013
Tamil Nadu,10,22,77,12393788,2013
Uttar Pradesh,13,30,163,10563850,2013
Uttarakhand,21,24,158,708595,2013
West Bengal,17,57,114,3260624,2013
Jammu & Kashmir,5,12,114,926961,2013
 Lakshadweep,2,5,114,8753,2013
Tripura,2,5,114,187673,2013
Andaman and Nicobar Islands,2,5,114,69100,2013
Andhra Pradesh,7,18,72,12424328,2014
Assam,6,13,72,1807120,2014
Bihar,6,36,166,3112880,2014
Chandigarh,2,19,110,737263,2014
Chhattisgarh,11,26,151,3104038,2014
Dadra & Nagar Haveli,8,20,115,48550,2014
Daman & Diu,8,20,115,52339,2014
Delhi,5,59,237,4661714,2014
Goa,11,17,96,865609,2014
Gujarat,15,26,94,14413717,2014
Haryana,9,23,147,5978110,2014
Himachal Pradesh,2,15,99,736604,2014
Jharkhand,23,41,173,3157986,2014
Karnataka,9,20,83,10909601,2014
Kerala,4,13,55,6893314,2014
Maharashtra,17,33,105,19432361,2014
Madhya Pradesh,14,22,128,8144159,2014
Meghalaya,9,11,73,197838,2014
Mizoram,2,7,54,101830,2014
Manipur,10,24,115,214523,2014
Nagaland,2,6,86,291438,2014
Orissa,4,17,82,3758530,2014
Punjab,10,27,162,6262939,2014
Puduchery,8,14,42,755276,2014
Rajasthan,8,34,173,6629743,2014
Tamil Nadu,11,21,73,13846378,2014
Uttar Pradesh,12,29,184,12410064,2014
Uttarakhand,26,28,162,897651,2014
West Bengal,41,55,115,3860741,2014
Jammu & Kashmir,6,12,115,916898,2014
 Lakshadweep,2,6,115,9897,2014
Tripura,2,6,115,204218,2014
Andaman and Nicobar Islands,2,6,115,77063,2014
